"Reference","Value","MPN","internalRef","Qty"
"C1, C3","10uF","0402ZD106MAT2A","1.03.011","2"
"C2, C8, C9, C12","100nF","885012205037","1.03.019","4"
"C4, C5","10uF","875115644009","1.01.003","2"
"C6, C7","22uF","885012109014","1.03.021","2"
"C10, C11","TBD",,,"2"
"D1","82400102","82400102","31.01.001","1"
"D2, D3","1N5819W","1N5819HW-7-F","4.02.001","2"
"D4","WS2812C-2020","WS2812C-2020","8.02.002","1"
"D5","PWR","150040RS73240","8.03.007","1"
"J1","615006138421","615006138421","2.16.003","1"
"J2","629722000214","629722000214","2.12.009","1"
"L1","1uH","7447730","14.00.001","1"
"R1, R4, R8, R9, R12","10K","CRCW040210K0FKEDHP","12.02.010","5"
"R2","1M","CRCW04021M00DHEDP","12.02.027","1"
"R3","1K","CRCW04021K00DHEDP","12.02.026","1"
"R5, R10, R11, R15","220R","CRCW0402220RFKED","12.02.008","4"
"R6, R7","5.1K","CRCW04025K10FKED","12.02.006","2"
"R13, R14","0R","RC0402JR-070RL","12.02.025","2"
"SW1, SW2","KSEM31JLFS","KSEM31JLFS","17.02.005","2"
"U1, U2","140357145100","140357145100","8.04.001","2"
"U3","173950336","173950336","10.02.001","1"
"U4","ESP32-C3-WROOM-02-N4","ESP32-C3-WROOM-02-N4","28.01.007","1"
